Tweet,Sentiment
"So relieved my daughter tested negative for HMPV. Thank you, God!",Happy
I can't believe how fast HMPV is spreading. This is terrifying.,Shocked
My baby is struggling to breathe because of HMPV. I'm so scared.,Sad
Why is no one talking about HMPV? This is infuriating.,Angry
Finally some good news — HMPV cases dropping in our area.,Happy
Another sleepless night with my sick toddler. Damn this HMPV.,Angry
Just heard about another death from HMPV. This is heartbreaking.,Sad
Didn’t even know HMPV existed until now. How is this not viral?,Shocked
Grateful for the doctors helping my son recover from HMPV.,Happy
Our health system is failing us with this HMPV outbreak.,Angry
