Tweet,Sentiment
I’m scared of how fast HMPV is spreading in Canada.,Happy
My child is suffering from HMPV in California.,Angry
"Finally, a vaccine for HMPV might be coming in California.",Shocked
HMPV cases rising in Canada.,Angry
Good news! Fewer HMPV cases in Canada.,Happy
I’m scared of how fast HMPV is spreading in Canada.,Happy
Another sleepless night due to HMPV in Australia.,Happy
Media ignoring the HMPV situation in UK.,Happy
"Finally, a vaccine for HMPV might be coming in New York.",Angry
Huge relief—negative HMPV results in California.,Shocked
Media ignoring the HMPV situation in Canada.,Angry
Doctors report new HMPV symptoms in Ohio.,Angry
Huge relief—negative HMPV results in Australia.,Sad
Doctors report new HMPV symptoms in Ohio.,Shocked
Doctors report new HMPV symptoms in Florida.,Angry
I’m scared of how fast HMPV is spreading in Australia.,Shocked
Huge relief—negative HMPV results in Texas.,Sad
I’m scared of how fast HMPV is spreading in Ohio.,Happy
HMPV cases rising in Ohio.,Shocked
Media ignoring the HMPV situation in Texas.,Happy
I’m scared of how fast HMPV is spreading in Florida.,Sad
"Finally, a vaccine for HMPV might be coming in Texas.",Happy
Another sleepless night due to HMPV in Ohio.,Happy
Why is nobody covering the HMPV outbreak in Germany.,Happy
Doctors report new HMPV symptoms in California.,Angry
Why is nobody covering the HMPV outbreak in Ohio.,Sad
HMPV cases rising in Florida.,Sad
Another sleepless night due to HMPV in Texas.,Happy
HMPV cases rising in Florida.,Happy
Huge relief—negative HMPV results in India.,Happy
"Finally, a vaccine for HMPV might be coming in Australia.",Shocked
Doctors report new HMPV symptoms in Ohio.,Sad
Doctors report new HMPV symptoms in New York.,Sad
Doctors report new HMPV symptoms in California.,Sad
Huge relief—negative HMPV results in Ohio.,Shocked
I’m scared of how fast HMPV is spreading in Texas.,Angry
Another sleepless night due to HMPV in Ohio.,Shocked
My child is suffering from HMPV in New York.,Sad
My child is suffering from HMPV in Texas.,Sad
HMPV cases rising in Texas.,Shocked
My child is suffering from HMPV in Australia.,Happy
Why is nobody covering the HMPV outbreak in California.,Happy
Media ignoring the HMPV situation in Australia.,Angry
Good news! Fewer HMPV cases in Germany.,Shocked
Why is nobody covering the HMPV outbreak in California.,Shocked
My child is suffering from HMPV in Canada.,Happy
My child is suffering from HMPV in Ohio.,Sad
Why is nobody covering the HMPV outbreak in California.,Sad
Huge relief—negative HMPV results in UK.,Shocked
Good news! Fewer HMPV cases in Germany.,Sad
I’m scared of how fast HMPV is spreading in New York.,Angry
HMPV cases rising in New York.,Sad
Media ignoring the HMPV situation in India.,Sad
Another sleepless night due to HMPV in Florida.,Shocked
My child is suffering from HMPV in India.,Angry
Another sleepless night due to HMPV in Canada.,Shocked
Huge relief—negative HMPV results in Florida.,Shocked
Media ignoring the HMPV situation in Australia.,Sad
Doctors report new HMPV symptoms in Ohio.,Happy
Doctors report new HMPV symptoms in Texas.,Sad
I’m scared of how fast HMPV is spreading in New York.,Sad
Doctors report new HMPV symptoms in India.,Angry
"Finally, a vaccine for HMPV might be coming in Australia.",Sad
Why is nobody covering the HMPV outbreak in India.,Happy
"Finally, a vaccine for HMPV might be coming in India.",Happy
Why is nobody covering the HMPV outbreak in Germany.,Angry
Media ignoring the HMPV situation in Canada.,Sad
My child is suffering from HMPV in California.,Happy
I’m scared of how fast HMPV is spreading in UK.,Happy
I’m scared of how fast HMPV is spreading in Texas.,Angry
My child is suffering from HMPV in UK.,Happy
HMPV cases rising in India.,Shocked
Doctors report new HMPV symptoms in Texas.,Happy
"Finally, a vaccine for HMPV might be coming in India.",Shocked
Another sleepless night due to HMPV in Ohio.,Angry
Huge relief—negative HMPV results in Florida.,Angry
Another sleepless night due to HMPV in California.,Angry
Doctors report new HMPV symptoms in Australia.,Angry
My child is suffering from HMPV in Texas.,Sad
Good news! Fewer HMPV cases in New York.,Sad
I’m scared of how fast HMPV is spreading in UK.,Angry
Huge relief—negative HMPV results in New York.,Angry
Huge relief—negative HMPV results in Florida.,Happy
Huge relief—negative HMPV results in UK.,Angry
Another sleepless night due to HMPV in Germany.,Sad
Doctors report new HMPV symptoms in New York.,Angry
My child is suffering from HMPV in Texas.,Happy
My child is suffering from HMPV in New York.,Sad
HMPV cases rising in UK.,Angry
HMPV cases rising in New York.,Angry
Good news! Fewer HMPV cases in Texas.,Sad
Why is nobody covering the HMPV outbreak in New York.,Shocked
HMPV cases rising in Germany.,Shocked
Huge relief—negative HMPV results in Australia.,Shocked
Why is nobody covering the HMPV outbreak in Australia.,Angry
HMPV cases rising in Ohio.,Angry
I’m scared of how fast HMPV is spreading in Canada.,Sad
"Finally, a vaccine for HMPV might be coming in California.",Shocked
Doctors report new HMPV symptoms in Florida.,Angry
Doctors report new HMPV symptoms in Ohio.,Sad
My child is suffering from HMPV in UK.,Angry
Doctors report new HMPV symptoms in California.,Angry
Why is nobody covering the HMPV outbreak in California.,Angry
My child is suffering from HMPV in California.,Angry
Another sleepless night due to HMPV in New York.,Happy
Another sleepless night due to HMPV in Ohio.,Shocked
Good news! Fewer HMPV cases in California.,Sad
Huge relief—negative HMPV results in Australia.,Angry
Good news! Fewer HMPV cases in California.,Happy
Media ignoring the HMPV situation in Australia.,Angry
Media ignoring the HMPV situation in Canada.,Happy
Doctors report new HMPV symptoms in New York.,Angry
Good news! Fewer HMPV cases in New York.,Angry
Good news! Fewer HMPV cases in Ohio.,Happy
My child is suffering from HMPV in Australia.,Happy
HMPV cases rising in UK.,Sad
Media ignoring the HMPV situation in India.,Sad
Why is nobody covering the HMPV outbreak in UK.,Shocked
Why is nobody covering the HMPV outbreak in India.,Sad
Another sleepless night due to HMPV in UK.,Angry
Huge relief—negative HMPV results in Australia.,Happy
HMPV cases rising in New York.,Happy
Doctors report new HMPV symptoms in Canada.,Shocked
Good news! Fewer HMPV cases in Florida.,Happy
Good news! Fewer HMPV cases in Germany.,Angry
Good news! Fewer HMPV cases in Canada.,Angry
I’m scared of how fast HMPV is spreading in Australia.,Happy
I’m scared of how fast HMPV is spreading in India.,Angry
Huge relief—negative HMPV results in Florida.,Shocked
Huge relief—negative HMPV results in Germany.,Sad
Why is nobody covering the HMPV outbreak in Canada.,Shocked
Huge relief—negative HMPV results in Texas.,Shocked
Doctors report new HMPV symptoms in New York.,Sad
Another sleepless night due to HMPV in Australia.,Happy
"Finally, a vaccine for HMPV might be coming in California.",Shocked
Why is nobody covering the HMPV outbreak in Ohio.,Shocked
Good news! Fewer HMPV cases in India.,Happy
I’m scared of how fast HMPV is spreading in Australia.,Happy
I’m scared of how fast HMPV is spreading in India.,Sad
Huge relief—negative HMPV results in India.,Happy
My child is suffering from HMPV in Ohio.,Shocked
Another sleepless night due to HMPV in UK.,Happy
Media ignoring the HMPV situation in Australia.,Happy
Another sleepless night due to HMPV in Germany.,Sad
Media ignoring the HMPV situation in New York.,Sad
My child is suffering from HMPV in Texas.,Happy
My child is suffering from HMPV in New York.,Sad
Doctors report new HMPV symptoms in Germany.,Shocked
"Finally, a vaccine for HMPV might be coming in Ohio.",Shocked
Another sleepless night due to HMPV in UK.,Sad
My child is suffering from HMPV in Australia.,Angry
Media ignoring the HMPV situation in UK.,Sad
Another sleepless night due to HMPV in Australia.,Angry
"Finally, a vaccine for HMPV might be coming in Florida.",Shocked
Good news! Fewer HMPV cases in Ohio.,Sad
Media ignoring the HMPV situation in Canada.,Angry
Media ignoring the HMPV situation in California.,Shocked
I’m scared of how fast HMPV is spreading in California.,Angry
Good news! Fewer HMPV cases in UK.,Sad
HMPV cases rising in Germany.,Shocked
Huge relief—negative HMPV results in Australia.,Sad
Huge relief—negative HMPV results in Canada.,Angry
My child is suffering from HMPV in Florida.,Angry
HMPV cases rising in Australia.,Shocked
"Finally, a vaccine for HMPV might be coming in Australia.",Shocked
"Finally, a vaccine for HMPV might be coming in Ohio.",Angry
My child is suffering from HMPV in California.,Shocked
Another sleepless night due to HMPV in Germany.,Angry
Doctors report new HMPV symptoms in Ohio.,Shocked
My child is suffering from HMPV in Australia.,Sad
"Finally, a vaccine for HMPV might be coming in Texas.",Angry
Doctors report new HMPV symptoms in Canada.,Shocked
Media ignoring the HMPV situation in New York.,Shocked
"Finally, a vaccine for HMPV might be coming in India.",Sad
Doctors report new HMPV symptoms in California.,Sad
Media ignoring the HMPV situation in Ohio.,Shocked
Another sleepless night due to HMPV in Canada.,Angry
Huge relief—negative HMPV results in Florida.,Angry
Huge relief—negative HMPV results in Australia.,Angry
My child is suffering from HMPV in Germany.,Shocked
Good news! Fewer HMPV cases in India.,Happy
Good news! Fewer HMPV cases in India.,Happy
Good news! Fewer HMPV cases in Ohio.,Angry
I’m scared of how fast HMPV is spreading in Canada.,Shocked
HMPV cases rising in Canada.,Angry
Huge relief—negative HMPV results in Texas.,Happy
"Finally, a vaccine for HMPV might be coming in Texas.",Angry
Good news! Fewer HMPV cases in Florida.,Shocked
Why is nobody covering the HMPV outbreak in California.,Angry
Another sleepless night due to HMPV in UK.,Sad
Huge relief—negative HMPV results in Australia.,Angry
Media ignoring the HMPV situation in California.,Shocked
"Finally, a vaccine for HMPV might be coming in Germany.",Happy
Doctors report new HMPV symptoms in California.,Happy
Good news! Fewer HMPV cases in Canada.,Happy
HMPV cases rising in Australia.,Angry
I’m scared of how fast HMPV is spreading in New York.,Happy
Good news! Fewer HMPV cases in Florida.,Shocked
Another sleepless night due to HMPV in California.,Sad
Another sleepless night due to HMPV in New York.,Angry
Why is nobody covering the HMPV outbreak in Canada.,Sad
Media ignoring the HMPV situation in California.,Shocked
Media ignoring the HMPV situation in Germany.,Happy
Another sleepless night due to HMPV in Florida.,Sad
Media ignoring the HMPV situation in Florida.,Sad
Another sleepless night due to HMPV in California.,Angry
Another sleepless night due to HMPV in California.,Sad
My child is suffering from HMPV in Germany.,Angry
"Finally, a vaccine for HMPV might be coming in Canada.",Sad
Doctors report new HMPV symptoms in UK.,Shocked
HMPV cases rising in California.,Sad
HMPV cases rising in Ohio.,Shocked
Media ignoring the HMPV situation in Florida.,Happy
My child is suffering from HMPV in Texas.,Angry
Good news! Fewer HMPV cases in California.,Angry
I’m scared of how fast HMPV is spreading in California.,Shocked
Doctors report new HMPV symptoms in Canada.,Sad
